Time (s),1_pre,,,Time (s),1_post,,,Time (s),2_pre,,,Time (s),2_post,3_post,,,Time (s),3_pre,,,Time (s),4_pre,4_post,,,Time (s),5_pre,5_post,6_pre,,,Time (s),6_post,7_pre,7_post,8_pre,8_post,,,Time (s),9_pre,,,Time (s),9_post,,,Time (s),10_pre,,,Time (s),10_post,,,Time (s),11_pre,,,Time (s),11_post
2.23,0.0551,,,2.23,-0.0916,,,2.23,-0.0165,,,2.23,0.0026,0.0708,,,2.23,0.0243,,,2.23,0.0221,-0.0402,,,2.23,0.004,-0.2025,0.0465,,,2.23,-0.2666,-0.0066,-0.4278,-0.005,-0.0067,,,2.23,0,,,2.23,0.457,,,2.23,0.1016,,,2.23,-0.0787,,,2.23,-0.0432,,,2.23,0.0756
2.24,0.0411,,,2.24,-0.0311,,,2.24,-0.046,,,2.24,0.0325,-0.0035,,,2.24,0.0463,,,2.24,0.012,-0.059,,,2.24,-0.021,-0.151,0.0166,,,2.24,-0.2469,0.0115,-0.3536,-0.0626,0.0904,,,2.24,0.1931,,,2.24,0.2619,,,2.24,0.1321,,,2.24,0.0303,,,2.24,-0.0561,,,2.24,-0.0139
2.25,-0.0229,,,2.25,0.0544,,,2.25,-0.0366,,,2.25,-0.0066,0.0204,,,2.25,-0.0131,,,2.25,0.0384,-0.0378,,,2.25,-0.0318,-0.1711,-0.0249,,,2.25,-0.2543,-0.0545,-0.2137,-0.1586,-0.038,,,2.25,0.0546,,,2.25,0.1651,,,2.25,0.148,,,2.25,0.0203,,,2.25,0.0198,,,2.25,0.039
2.26,0.0347,,,2.26,-0.0798,,,2.26,-0.0021,,,2.26,0.0283,0.0764,,,2.26,-0.0243,,,2.26,0.053,-0.014,,,2.26,0.0428,-0.1874,-0.0208,,,2.26,-0.229,-0.0781,-0.3129,0.0918,-0.0115,,,2.26,0.0091,,,2.26,-0.0702,,,2.26,0.1718,,,2.26,0.0485,,,2.26,-0.0923,,,2.26,0.066
2.27,0.0067,,,2.27,-0.011,,,2.27,-0.0616,,,2.27,0.0143,0.0083,,,2.27,-0.0498,,,2.27,0.0062,0.0217,,,2.27,-0.0029,-0.1246,-0.0225,,,2.27,-0.243,-0.0077,-0.0655,-0.067,0.0634,,,2.27,0.0844,,,2.27,0.024,,,2.27,0.1157,,,2.27,0.063,,,2.27,-0.0504,,,2.27,0.0903
2.28,-0.0078,,,2.28,-0.0052,,,2.28,-0.0059,,,2.28,0.0016,0.0539,,,2.28,-0.0512,,,2.28,0.0169,-0.0194,,,2.28,0.0143,-0.1452,-0.0377,,,2.28,-0.1607,0.0143,0.0725,-0.0351,-0.0821,,,2.28,-0.1106,,,2.28,-0.1786,,,2.28,0.1677,,,2.28,0.1703,,,2.28,-0.0359,,,2.28,0.0298
2.29,0.016,,,2.29,0.0669,,,2.29,0.0118,,,2.29,-0.0315,-0.0362,,,2.29,-0.0441,,,2.29,0.0474,-0.0483,,,2.29,0.0487,-0.1256,-0.0616,,,2.29,-0.154,-0.0484,-0.2644,-0.1681,0.032,,,2.29,0.2448,,,2.29,0.0009,,,2.29,0.1233,,,2.29,0.1499,,,2.29,-0.0268,,,2.29,0.1238
2.3,0.0573,,,2.3,0.0037,,,2.3,-0.011,,,2.3,-0.0012,0.0208,,,2.3,0.0417,,,2.3,0.0839,-0.061,,,2.3,0.059,-0.1322,-0.0757,,,2.3,-0.0682,0.0743,-0.1774,0.0751,0.0941,,,2.3,0.001,,,2.3,-0.2485,,,2.3,0.1477,,,2.3,0.1003,,,2.3,0.0368,,,2.3,0.1005
2.31,0.0947,,,2.31,0.0446,,,2.31,0.0514,,,2.31,0.0603,0.0999,,,2.31,0.0578,,,2.31,-0.0142,-0.0438,,,2.31,0.0036,-0.1479,-0.0979,,,2.31,-0.069,-0.1138,-0.0011,-0.0039,0.1648,,,2.31,0.1376,,,2.31,-0.0935,,,2.31,0.1593,,,2.31,0.1009,,,2.31,0.0555,,,2.31,0.1056
2.32,0.0082,,,2.32,0.0053,,,2.32,0.0122,,,2.32,0.0393,0.0444,,,2.32,0.0133,,,2.32,0.0199,-0.059,,,2.32,-0.0085,-0.0775,-0.1031,,,2.32,-0.0545,-0.0032,-0.0231,-0.0262,0.0439,,,2.32,0.2259,,,2.32,0.0313,,,2.32,0.114,,,2.32,0.1078,,,2.32,-0.0169,,,2.32,-0.0151
2.33,-0.0295,,,2.33,0.0261,,,2.33,0.0356,,,2.33,0.0466,-0.0056,,,2.33,0.0208,,,2.33,-0.0186,-0.051,,,2.33,0.0479,-0.1755,-0.1096,,,2.33,-0.0512,0.0189,0.0709,-0.0663,0.0179,,,2.33,-0.1233,,,2.33,-0.2501,,,2.33,0.1687,,,2.33,0.1401,,,2.33,-0.0114,,,2.33,0.016
2.34,-0.0142,,,2.34,-0.0314,,,2.34,-0.0138,,,2.34,0.097,0.0514,,,2.34,-0.0364,,,2.34,-0.0543,-0.0544,,,2.34,-0.0349,-0.1824,-0.1119,,,2.34,-0.0006,-0.0412,-0.0055,0.1486,0.1398,,,2.34,-0.0567,,,2.34,-0.4399,,,2.34,0.1221,,,2.34,0.143,,,2.34,0.0085,,,2.34,0.013
2.35,0.0642,,,2.35,-0.0337,,,2.35,-0.0085,,,2.35,0.0737,0.0367,,,2.35,0.0173,,,2.35,-0.0681,0.0022,,,2.35,0.0538,-0.1568,-0.1563,,,2.35,-0.0141,0.0465,-0.0318,-0.1265,-0.0223,,,2.35,0.2973,,,2.35,-0.0368,,,2.35,0.0822,,,2.35,0.0692,,,2.35,0.0503,,,2.35,-0.0714
2.36,0.0459,,,2.36,0.032,,,2.36,0.0049,,,2.36,0.0274,0.0619,,,2.36,0.0175,,,2.36,-0.0059,-0.0107,,,2.36,0.0238,-0.0311,-0.1326,,,2.36,-0.0206,0.0756,-0.0445,-0.0314,0.0567,,,2.36,-0.3268,,,2.36,-0.1872,,,2.36,0.0763,,,2.36,0.1152,,,2.36,0.0428,,,2.36,-0.0535
2.37,0.0163,,,2.37,0.0873,,,2.37,-0.0454,,,2.37,0.0005,0.0606,,,2.37,0.0591,,,2.37,-0.0395,-0.0005,,,2.37,-0.039,-0.0447,-0.1053,,,2.37,-0.001,0.0708,0.2149,0.0286,-0.0666,,,2.37,-0.1229,,,2.37,0.2219,,,2.37,0.0757,,,2.37,0.0248,,,2.37,0.0736,,,2.37,-0.0281
2.38,-0.0461,,,2.38,0.0048,,,2.38,-0.0299,,,2.38,0.0215,0.0811,,,2.38,0.0169,,,2.38,-0.0503,0.0162,,,2.38,-0.0654,-0.0825,-0.0101,,,2.38,0.0222,-0.0795,0.0919,0.0093,0.088,,,2.38,-0.0272,,,2.38,-0.0559,,,2.38,0.0802,,,2.38,-0.0119,,,2.38,0.0066,,,2.38,-0.0873
2.39,-0.0221,,,2.39,0.0669,,,2.39,-0.0041,,,2.39,0.0415,0.0706,,,2.39,0.009,,,2.39,0.0194,0.0695,,,2.39,-0.0742,-0.0362,0.0101,,,2.39,-0.0425,0.0231,-0.0337,0.0026,-0.0103,,,2.39,0.1643,,,2.39,-0.002,,,2.39,0.0851,,,2.39,-0.0086,,,2.39,0.0106,,,2.39,-0.0653
2.4,-0.021,,,2.4,0.0141,,,2.4,0.0145,,,2.4,0.0023,-0.0075,,,2.4,0.007,,,2.4,0.0346,-0.0115,,,2.4,-0.0225,-0.043,0.0294,,,2.4,0.0087,0.0972,-0.0614,0.0832,0.1344,,,2.4,0.3874,,,2.4,0.4566,,,2.4,0.0395,,,2.4,0.1216,,,2.4,0.0046,,,2.4,-0.0401
2.41,0.092,,,2.41,0.0271,,,2.41,-0.0142,,,2.41,0.0292,0.049,,,2.41,-0.0513,,,2.41,0.0256,-0.0037,,,2.41,-0.056,-0.0671,0.1447,,,2.41,-0.02,-0.0353,0.0852,-0.049,0.061,,,2.41,-0.1295,,,2.41,0.0774,,,2.41,-0.0179,,,2.41,0.0923,,,2.41,-0.0813,,,2.41,-0.0385
2.42,-0.0603,,,2.42,0.113,,,2.42,-0.0052,,,2.42,-0.0029,0.0365,,,2.42,0.0415,,,2.42,-0.0087,0.0057,,,2.42,-0.0733,-0.0398,0.1101,,,2.42,-0.0079,-0.0666,0.0682,-0.0386,0.0419,,,2.42,0.2566,,,2.42,0.2089,,,2.42,-0.024,,,2.42,-0.0546,,,2.42,-0.0436,,,2.42,-0.0205
2.43,0.0702,,,2.43,0.0535,,,2.43,0.0371,,,2.43,-0.0069,-0.0252,,,2.43,-0.0015,,,2.43,0.0293,0.0278,,,2.43,-0.0829,-0.0722,0.1464,,,2.43,-0.0327,0.1011,-0.0611,0.0527,0.0541,,,2.43,-0.0522,,,2.43,-0.2409,,,2.43,-0.0156,,,2.43,0.0875,,,2.43,-0.0768,,,2.43,0.0085
2.44,-0.048,,,2.44,0.0667,,,2.44,-0.0022,,,2.44,0.0901,-0.036,,,2.44,0.0105,,,2.44,0.0148,0.0078,,,2.44,-0.1494,0.0195,0.1419,,,2.44,-0.0298,-0.1016,-0.0178,0.1265,-0.0438,,,2.44,0.0396,,,2.44,-0.0216,,,2.44,-0.0632,,,2.44,-0.0549,,,2.44,-0.1078,,,2.44,-0.0072
2.45,0.0205,,,2.45,0.0524,,,2.45,-0.0125,,,2.45,0.0151,0.0216,,,2.45,0.01,,,2.45,-0.0112,-0.0068,,,2.45,-0.1401,0.0078,0.1228,,,2.45,-0.0826,-0.0777,0.0438,-0.0976,-0.0279,,,2.45,-0.3108,,,2.45,0.0694,,,2.45,-0.1054,,,2.45,-0.1243,,,2.45,-0.1429,,,2.45,-0.0255
2.46,-0.0126,,,2.46,-0.0167,,,2.46,-0.0231,,,2.46,0.0627,-0.0357,,,2.46,-0.0248,,,2.46,0.0074,-0.0129,,,2.46,-0.0898,-0.0057,0.0915,,,2.46,-0.1046,0.0387,0.086,-0.1582,-0.0657,,,2.46,0.1543,,,2.46,-0.0363,,,2.46,-0.2016,,,2.46,-0.1525,,,2.46,-0.0152,,,2.46,0.0373
2.47,-0.0056,,,2.47,0.0497,,,2.47,-0.0114,,,2.47,0.0876,-0.0242,,,2.47,-0.0018,,,2.47,-0.0085,0.0478,,,2.47,-0.1123,-0.0148,0.1289,,,2.47,-0.1319,0.0075,0.0474,0.0011,-0.0851,,,2.47,0.1191,,,2.47,-0.1912,,,2.47,-0.1835,,,2.47,-0.1395,,,2.47,-0.0891,,,2.47,0.0606
2.48,-0.003,,,2.48,-0.0291,,,2.48,0.0726,,,2.48,0.0629,0.0094,,,2.48,-0.0054,,,2.48,-0.0052,-0.006,,,2.48,-0.1054,-0.0546,0.0579,,,2.48,-0.1633,0.0459,0.1141,-0.0082,0.0303,,,2.48,-0.1238,,,2.48,-0.3168,,,2.48,-0.1969,,,2.48,-0.0811,,,2.48,-0.0697,,,2.48,0.0899
2.49,-0.0067,,,2.49,-0.0349,,,2.49,0.0556,,,2.49,-0.0033,-0.0132,,,2.49,-0.0095,,,2.49,0.0507,0.0013,,,2.49,-0.1105,-0.0528,-0.0017,,,2.49,-0.1721,0.1107,0.2812,-0.0592,0.0462,,,2.49,0.2425,,,2.49,-0.2719,,,2.49,-0.1482,,,2.49,-0.1352,,,2.49,-0.0278,,,2.49,-0.0068
2.5,-0.0314,,,2.5,-0.0286,,,2.5,-0.0111,,,2.5,0.0152,0.0384,,,2.5,-0.0575,,,2.5,0.0136,0.0328,,,2.5,-0.075,-0.0061,0.0261,,,2.5,-0.1461,-0.0103,0.1805,-0.1595,0.0999,,,2.5,-0.2365,,,2.5,-0.189,,,2.5,-0.2227,,,2.5,-0.2065,,,2.5,-0.0438,,,2.5,-0.0111
2.51,-0.043,,,2.51,-0.0377,,,2.51,0.0327,,,2.51,0.0725,0.0339,,,2.51,-0.023,,,2.51,0.0093,0.0522,,,2.51,-0.0674,0.0319,0.0015,,,2.51,-0.0408,0.0011,0.0403,-0.122,0.0187,,,2.51,0.0988,,,2.51,-0.4706,,,2.51,-0.1887,,,2.51,-0.1391,,,2.51,-0.0398,,,2.51,0.046
2.52,-0.0467,,,2.52,-0.0067,,,2.52,-0.0191,,,2.52,0.0337,0.0536,,,2.52,0.0166,,,2.52,0.0443,0.0134,,,2.52,-0.0014,-0.0397,0.0028,,,2.52,0.0364,0.0731,0.1269,-0.1017,-0.0167,,,2.52,-0.0573,,,2.52,-0.0831,,,2.52,-0.2138,,,2.52,-0.1976,,,2.52,-0.002,,,2.52,-0.0611
2.53,-0.0372,,,2.53,0.0777,,,2.53,-0.0269,,,2.53,0.0926,0.0034,,,2.53,-0.0043,,,2.53,-0.0384,0.0167,,,2.53,0.0284,0.0611,0.0086,,,2.53,0.0984,-0.0291,0.0119,-0.2268,-0.056,,,2.53,0.0078,,,2.53,-0.0665,,,2.53,-0.1815,,,2.53,-0.1404,,,2.53,-0.0168,,,2.53,-0.0645
2.54,-0.0796,,,2.54,0.0495,,,2.54,-0.0283,,,2.54,0.0498,0.0682,,,2.54,0.0296,,,2.54,0.0088,0.0354,,,2.54,0.0036,0.0184,0.0078,,,2.54,0.1673,-0.0523,-0.0265,0.1124,0.0425,,,2.54,-0.0777,,,2.54,0.0524,,,2.54,-0.2462,,,2.54,-0.1622,,,2.54,0.0003,,,2.54,-0.1223
2.55,-0.0254,,,2.55,0.0775,,,2.55,0.019,,,2.55,0.0831,0.0081,,,2.55,0.0347,,,2.55,-0.0066,-0.0401,,,2.55,0.0881,0.0923,-0.0091,,,2.55,0.1958,-0.0237,0.002,0.0637,0.0164,,,2.55,0.0095,,,2.55,-0.062,,,2.55,-0.2242,,,2.55,-0.0765,,,2.55,0.0594,,,2.55,-0.0428
2.56,0.0131,,,2.56,0.0126,,,2.56,0.0163,,,2.56,0.0544,0.0609,,,2.56,0.1226,,,2.56,-0.0259,0.0211,,,2.56,0.0567,0.0707,-0.0081,,,2.56,0.2169,0.0321,0.0294,0.0368,-0.101,,,2.56,-0.0723,,,2.56,-0.1017,,,2.56,-0.2295,,,2.56,-0.0657,,,2.56,0.0045,,,2.56,0.0312
2.57,0.0019,,,2.57,0.0088,,,2.57,0.0269,,,2.57,0.0264,0.0613,,,2.57,0.075,,,2.57,-0.0259,0.0056,,,2.57,0.0934,0.0307,-0.1235,,,2.57,0.1951,0.0348,0.0139,-0.103,0.075,,,2.57,0.072,,,2.57,0.096,,,2.57,-0.1738,,,2.57,-0.0321,,,2.57,-0.0481,,,2.57,-0.0106
2.58,0.0063,,,2.58,-0.0096,,,2.58,0.0464,,,2.58,0.0546,0.0571,,,2.58,0.0465,,,2.58,-0.0163,-0.008,,,2.58,-0.0075,0.1704,-0.0982,,,2.58,0.168,-0.0484,0.0983,-0.0724,0.0662,,,2.58,0.0454,,,2.58,0.211,,,2.58,-0.1964,,,2.58,0.0232,,,2.58,-0.0289,,,2.58,0.0553
2.59,0.0024,,,2.59,0.0327,,,2.59,0.0574,,,2.59,0.0109,0.0109,,,2.59,0.0377,,,2.59,-0.0639,0.0363,,,2.59,0.0242,0.1088,-0.0819,,,2.59,0.1486,0.0311,0.0032,-0.1644,0.0053,,,2.59,0.0379,,,2.59,0.3814,,,2.59,-0.1784,,,2.59,0.1302,,,2.59,-0.0684,,,2.59,-0.009
2.6,0.0341,,,2.6,0.0623,,,2.6,0.0083,,,2.6,0.0385,-0.0281,,,2.6,0.0659,,,2.6,-0.0444,-0.0016,,,2.6,-0.0691,0.1981,-0.025,,,2.6,0.1559,0.1122,0.1334,-0.0555,-0.086,,,2.6,-0.0967,,,2.6,0.1046,,,2.6,-0.161,,,2.6,0.1061,,,2.6,-0.0107,,,2.6,0.0074
2.61,-0.0601,,,2.61,0.008,,,2.61,0.0604,,,2.61,0.087,0.0337,,,2.61,0.0646,,,2.61,-0.018,0.0051,,,2.61,-0.1148,0.2071,-0.0115,,,2.61,0.1252,0.05,0.0137,-0.1486,-0.1361,,,2.61,-0.0885,,,2.61,-0.0185,,,2.61,-0.1292,,,2.61,0.0866,,,2.61,-0.0072,,,2.61,0.0643
2.62,0.0152,,,2.62,-0.0374,,,2.62,0.0424,,,2.62,0.0389,0.0448,,,2.62,-0.0063,,,2.62,0.0169,-0.0162,,,2.62,-0.1626,0.2142,0.0512,,,2.62,0.1437,-0.0757,-0.0115,-0.1325,-0.0509,,,2.62,-0.004,,,2.62,-0.056,,,2.62,-0.1579,,,2.62,0.0975,,,2.62,-0.0483,,,2.62,0.0154
2.63,-0.0187,,,2.63,-0.0227,,,2.63,0.0648,,,2.63,0.0704,0.0448,,,2.63,-0.0329,,,2.63,0.0421,0.0156,,,2.63,-0.2177,0.2346,0.0873,,,2.63,0.0937,0.1624,-0.0278,-0.0431,0.0695,,,2.63,-0.0427,,,2.63,0.0514,,,2.63,-0.1761,,,2.63,0.1463,,,2.63,-0.0288,,,2.63,0.003
2.64,-0.043,,,2.64,-0.0292,,,2.64,0.0207,,,2.64,0.0502,0.0147,,,2.64,-0.0291,,,2.64,0.0317,0.0089,,,2.64,-0.2533,0.2084,0.0726,,,2.64,0.0938,-0.0515,-0.0025,0.1198,0.0287,,,2.64,-0.0205,,,2.64,0.3366,,,2.64,-0.1582,,,2.64,0.1639,,,2.64,0.0665,,,2.64,-0.0013
2.65,-0.0486,,,2.65,-0.0416,,,2.65,0.0313,,,2.65,0.0155,-0.0175,,,2.65,-0.0634,,,2.65,0.0499,-0.0214,,,2.65,-0.2179,0.2746,0.0863,,,2.65,0.054,0.0837,0.1856,-0.0564,-0.0421,,,2.65,0.0988,,,2.65,0.0853,,,2.65,-0.1276,,,2.65,0.1182,,,2.65,-0.0212,,,2.65,0.0179
2.66,-0.0178,,,2.66,-0.0511,,,2.66,0.0113,,,2.66,0.0767,0.0405,,,2.66,-0.0312,,,2.66,0.0787,-0.019,,,2.66,-0.2091,0.2867,0.1154,,,2.66,0.0794,-0.1305,0.0188,-0.0215,0.0688,,,2.66,0.0038,,,2.66,-0.056,,,2.66,-0.0811,,,2.66,0.1355,,,2.66,-0.0619,,,2.66,0.096
2.67,0.0689,,,2.67,-0.05,,,2.67,0.0382,,,2.67,0.0319,-0.0097,,,2.67,0.0019,,,2.67,0.0061,0.0174,,,2.67,-0.241,0.2686,0.1238,,,2.67,0.0232,0.103,0.1727,0.0777,0.0584,,,2.67,-0.2446,,,2.67,-0.0948,,,2.67,-0.0437,,,2.67,0.2055,,,2.67,0.0173,,,2.67,0.0723
2.68,-0.0612,,,2.68,-0.0293,,,2.68,0.0378,,,2.68,0.054,0.0244,,,2.68,-0.0122,,,2.68,0.0254,-0.0124,,,2.68,-0.1401,0.2581,0.0123,,,2.68,0.0086,0.0431,-0.1164,0.0684,0.0133,,,2.68,-0.1725,,,2.68,0.0018,,,2.68,-0.0566,,,2.68,0.1532,,,2.68,-0.0406,,,2.68,0.0539
2.69,-0.0488,,,2.69,0.0207,,,2.69,0.0333,,,2.69,0.0258,0.087,,,2.69,0.0423,,,2.69,0.0779,0.0372,,,2.69,-0.1096,0.2184,0.0402,,,2.69,0.0051,0.0229,0.1559,-0.0429,-0.1177,,,2.69,-0.3501,,,2.69,-0.1646,,,2.69,-0.0317,,,2.69,0.1478,,,2.69,0.0608,,,2.69,-0.0231
2.7,-0.0147,,,2.7,-0.0277,,,2.7,0.0584,,,2.7,0.0046,0.049,,,2.7,0.0181,,,2.7,0.0383,0.0284,,,2.7,-0.0343,0.231,0.0082,,,2.7,0.0013,0.0496,0.2337,-0.0892,-0.1581,,,2.7,-0.091,,,2.7,-0.1154,,,2.7,-0.0003,,,2.7,0.0742,,,2.7,0.035,,,2.7,0
2.71,0.0539,,,2.71,-0.0223,,,2.71,-0.0419,,,2.71,-0.0343,0.0836,,,2.71,0.0269,,,2.71,-0.0079,0.0273,,,2.71,-0.068,0.2152,0.0098,,,2.71,-0.0122,0.0038,0.0026,0.0168,-0.0841,,,2.71,0.1712,,,2.71,-0.1132,,,2.71,-0.0126,,,2.71,0.1195,,,2.71,0.0642,,,2.71,0.016
2.72,-0.027,,,2.72,0.0229,,,2.72,-0.0337,,,2.72,0.0137,0.0727,,,2.72,0.0235,,,2.72,-0.0011,0.0286,,,2.72,-0.0374,0.1743,0.0088,,,2.72,-0.0207,0.0801,0.1647,-0.0037,-0.0543,,,2.72,0.0111,,,2.72,0.1005,,,2.72,0.051,,,2.72,0.1395,,,2.72,0.0644,,,2.72,-0.0729
2.73,0.0367,,,2.73,0.0471,,,2.73,0.0158,,,2.73,0.0008,0.0578,,,2.73,-0.0376,,,2.73,-0.0007,-0.0184,,,2.73,0.0024,0.1906,0.0402,,,2.73,-0.005,-0.0323,-0.0709,0.0809,-0.0022,,,2.73,0.0895,,,2.73,-0.0707,,,2.73,-0.0349,,,2.73,0.0761,,,2.73,0.0174,,,2.73,-0.0501
2.74,-0.0512,,,2.74,-0.001,,,2.74,-0.0059,,,2.74,-0.0439,0.0237,,,2.74,-0.0008,,,2.74,-0.0114,0.0156,,,2.74,-0.0235,0.1711,0.0485,,,2.74,0.0934,0.0819,-0.1571,-0.1319,0.0484,,,2.74,-0.0631,,,2.74,-0.0531,,,2.74,-0.0127,,,2.74,0.0372,,,2.74,0.0392,,,2.74,-0.0569
2.75,-0.0312,,,2.75,-0.057,,,2.75,0.0373,,,2.75,-0.017,0.0246,,,2.75,0.0339,,,2.75,-0.0208,0.0531,,,2.75,0.0685,0.1526,0.0428,,,2.75,0.0937,0.0037,-0.1559,-0.0116,-0.015,,,2.75,-0.0941,,,2.75,0.0082,,,2.75,-0.0075,,,2.75,0.1113,,,2.75,-0.0592,,,2.75,-0.1008
2.76,-0.0724,,,2.76,-0.0441,,,2.76,0.0656,,,2.76,-0.0427,0.0836,,,2.76,-0.0227,,,2.76,-0.0164,-0.0161,,,2.76,0.1074,0.1152,0.0286,,,2.76,0.163,0.1223,0.0418,0.0675,-0.0041,,,2.76,-0.0309,,,2.76,0.1168,,,2.76,0.0141,,,2.76,0.057,,,2.76,0.0235,,,2.76,-0.0198
2.77,0.0722,,,2.77,-0.026,,,2.77,0.0594,,,2.77,-0.0372,0.0589,,,2.77,-0.0521,,,2.77,-0.0426,0.0113,,,2.77,0.0945,0.0913,0.0776,,,2.77,0.1841,0.018,-0.1536,0.0817,0.1268,,,2.77,0.0398,,,2.77,-0.1417,,,2.77,0.003,,,2.77,0.1067,,,2.77,-0.0566,,,2.77,-0.0319
2.78,-0.034,,,2.78,-0.0055,,,2.78,0.0066,,,2.78,0.0307,0.0625,,,2.78,0.0057,,,2.78,-0.0071,0.0039,,,2.78,0.1083,0.0704,0.0116,,,2.78,0.2019,0.046,-0.1299,0.051,-0.0986,,,2.78,0.1306,,,2.78,0.1818,,,2.78,0.0452,,,2.78,0.1371,,,2.78,-0.0517,,,2.78,-0.0092
2.79,0.0701,,,2.79,0.0274,,,2.79,0.0394,,,2.79,0.0541,0.06,,,2.79,0.0231,,,2.79,-0.0334,0.0147,,,2.79,0.0738,0.0572,0.0311,,,2.79,0.2312,-0.0256,0.0345,0.0399,0.0277,,,2.79,0.1181,,,2.79,0.1181,,,2.79,0.079,,,2.79,0.1751,,,2.79,-0.0116,,,2.79,0.0116
2.8,0.0277,,,2.8,-0.0056,,,2.8,0.0404,,,2.8,0.0011,0.1041,,,2.8,0.0204,,,2.8,0.0179,0.0301,,,2.8,0.0794,0.1215,-0.0596,,,2.8,0.194,-0.0558,-0.0212,-0.0765,0.1278,,,2.8,0.0622,,,2.8,0.2454,,,2.8,0.0949,,,2.8,0.1427,,,2.8,0.0295,,,2.8,0.0083
2.81,0.0661,,,2.81,-0.0789,,,2.81,-0.0019,,,2.81,-0.0137,0.0958,,,2.81,-0.0551,,,2.81,-0.0201,0.064,,,2.81,0.025,0.1732,-0.0823,,,2.81,0.2376,-0.0826,0.1729,-0.1024,0.023,,,2.81,-0.1134,,,2.81,-0.0226,,,2.81,0.0553,,,2.81,0.1008,,,2.81,0.0385,,,2.81,0.0698
2.82,0.0113,,,2.82,0.0354,,,2.82,-0.0174,,,2.82,0.0636,0.0829,,,2.82,0.0219,,,2.82,0.0056,0.0433,,,2.82,0.1269,0.1275,-0.0889,,,2.82,0.2429,-0.0822,-0.075,-0.1129,-0.0961,,,2.82,0.2225,,,2.82,0.0032,,,2.82,0.1251,,,2.82,0.1178,,,2.82,-0.0313,,,2.82,0.0284
2.83,0.0411,,,2.83,0.0516,,,2.83,-0.0025,,,2.83,-0.0051,0.0643,,,2.83,-0.0102,,,2.83,-0.0403,0.0449,,,2.83,0.0592,0.0896,-0.0719,,,2.83,0.2387,0.014,0.1759,-0.1168,0.008,,,2.83,-0.2205,,,2.83,0.0463,,,2.83,0.1152,,,2.83,0.1267,,,2.83,0.0312,,,2.83,0.0246
2.84,-0.0689,,,2.84,-0.0366,,,2.84,-0.0537,,,2.84,0.0447,0.0664,,,2.84,-0.0565,,,2.84,-0.0328,0.0573,,,2.84,0.0659,0.081,-0.0106,,,2.84,0.2628,-0.0068,0.0172,-0.0796,-0.0773,,,2.84,-0.4968,,,2.84,0.0682,,,2.84,0.0576,,,2.84,0.1366,,,2.84,0.0224,,,2.84,0.0524
2.85,0.0577,,,2.85,-0.0826,,,2.85,-0.0184,,,2.85,-0.0106,0.0445,,,2.85,-0.0451,,,2.85,0.0529,0.0431,,,2.85,0.0999,0.0913,-0.0014,,,2.85,0.2083,0.0017,0.1322,-0.066,-0.0016,,,2.85,0.1171,,,2.85,0.0976,,,2.85,0.0409,,,2.85,0.0702,,,2.85,0.0486,,,2.85,0.0381
2.86,-0.0083,,,2.86,-0.0465,,,2.86,0.009,,,2.86,-0.1001,0.0575,,,2.86,-0.0227,,,2.86,-0.0079,0.0413,,,2.86,0.1173,0.0832,0.0875,,,2.86,0.249,-0.0055,0.0077,-0.0055,-0.0722,,,2.86,0.0678,,,2.86,-0.3094,,,2.86,0.0512,,,2.86,0.0792,,,2.86,-0.0055,,,2.86,0.0524
2.87,0.0429,,,2.87,0.0231,,,2.87,-0.0096,,,2.87,0.013,0.0026,,,2.87,0.0178,,,2.87,0.0206,0.0553,,,2.87,0.1421,0.0412,0.1102,,,2.87,0.2318,-0.0358,0.0677,0.0453,0.0444,,,2.87,0.0652,,,2.87,-0.208,,,2.87,0.0513,,,2.87,0.0623,,,2.87,0.0355,,,2.87,0.044
2.88,0.0014,,,2.88,-0.0078,,,2.88,-0.0173,,,2.88,-0.0047,0.0143,,,2.88,-0.0061,,,2.88,-0.0064,0.0088,,,2.88,0.1351,0.1579,0.0867,,,2.88,0.1838,0.0466,-0.0025,-0.0344,-0.0951,,,2.88,-0.1035,,,2.88,-0.0835,,,2.88,0.1091,,,2.88,0.0472,,,2.88,0.0931,,,2.88,-0.0003
2.89,0.0059,,,2.89,-0.0996,,,2.89,-0.0154,,,2.89,0.0264,-0.0267,,,2.89,-0.0321,,,2.89,0.022,0.0151,,,2.89,0.1569,0.0118,0.1553,,,2.89,0.1651,-0.0503,0.0119,0.0667,-0.1237,,,2.89,0.305,,,2.89,-0.1617,,,2.89,0.0918,,,2.89,0.0473,,,2.89,0.0293,,,2.89,0.0035
2.9,-0.0458,,,2.9,-0.0427,,,2.9,-0.0717,,,2.9,-0.0146,-0.0314,,,2.9,-0.0006,,,2.9,0.0362,0.0209,,,2.9,0.1316,0.056,0.12,,,2.9,0.1443,-0.041,-0.0169,0.0365,0.0247,,,2.9,0.005,,,2.9,-0.1892,,,2.9,0.0828,,,2.9,0.0283,,,2.9,-0.0134,,,2.9,-0.0232
2.91,0.0636,,,2.91,-0.0023,,,2.91,-0.0517,,,2.91,0.0117,-0.0291,,,2.91,0.0456,,,2.91,0.0572,0.0389,,,2.91,0.0975,0.0916,0.1034,,,2.91,0.1165,-0.1564,-0.0796,0.109,0.0233,,,2.91,0.0654,,,2.91,0.0192,,,2.91,0.0195,,,2.91,0.0218,,,2.91,-0.0021,,,2.91,-0.0052
